OWNER
""
CANADA MORTGAGE AND HOUSING CORPORATION
FISHERIES AND OCEANS
HER MAJESTY THE QUEEN
HER MAJESTY THE QUEEN IN RIGHT OF THE PROVINCE OF NOVA SCOTIA
HIS MAJESTY THE KING IN RIGHT OF CANADA
HIS MAJESTY THE KING IN RIGHT OF THE PROVINCE OF NOVA SCOTIA
N S NATURAL RESOURCES
N S TRANSPORTATION AND PUBLIC WORKS
NATIONAL DEFENCE
